semantictype	test	treatment	problem
irda	2723	146	35
diap	4822	2912	50
ftcn	6510	16988	2935
qlco	3845	8665	3421
qnco	2727	5784	1224
inpr	2462	9256	1905
idcn	720	987	1669
bpoc	3270	26551	2916
bsoj	459	4476	376
aapp	1290	907	890
imft	636	387	858
blor	847	7003	1078
prog	155	400	157
cgab	33	500	776
dsyn	252	1842	7725
fndg	1576	4865	3513
popg	158	798	42
topp	3287	33852	734
spco	1733	13707	2149
bdsy	510	1317	251
orgf	193	1830	274
clna	906	686	442
medd	787	6976	302
acty	527	4479	254
tisu	479	8443	381
npop	293	816	227
anab	48	681	365
euka	377	853	77
mnob	1550	5717	364
food	55	1985	71
celc	341	904	49
lbpr	2681	781	49
aggp	17	4	125
emst	51	123	29
tmco	361	2665	1224
bmod	1000	601	95
hlca	1520	5486	261
elii	1245	240	33
bdsu	283	2545	162
phsu	743	987	596
chvf	142	114	34
gngm	1238	436	543
hcpp	1	12	0
hops	14	89	63
celf	37	27	13
phsf	133	120	116
ffas	23	2	0
anst	84	360	18
sbst	805	343	110
clas	289	248	490
phpr	122	1022	276
chvs	115	188	30
inpo	56	1701	7134
plnt	95	481	29
resa	1066	405	14
ocac	431	293	46
edac	34	2	0
hcro	68	121	1
cnce	811	378	120
menp	169	852	123
ortf	70	304	146
inbe	125	111	26
humn	72	84	13
acab	18	544	399
dora	60	67	1
ocdi	103	14	6
geoa	160	1392	571
phob	63	58	1
sosy	21	155	489
genf	118	903	12
inch	60	150	25
orch	190	123	84
mamm	10	91	15
mobd	3	10	537
enty	76	17	0
nusq	74	81	1
lbtr	362	116	35
enzy	401	366	298
neop	127	1456	1371
cell	126	88	41
fish	2	1	3
orga	44	82	134
bodm	36	1750	28
horm	43	26	23
patf	79	2214	2314
famg	121	4	43
mbrt	349	19	0
biof	30	145	9
bacs	485	120	64
vita	14	0	4
socb	17	108	23
mcha	8	299	4
fngs	19	10	30
podg	9	49	16
evnt	26	52	213
bhvr	1	0	6
gora	8	25	0
moft	173	138	16
anim	28	11	6
virs	61	0	37
rnlw	3	1	3
rcpt	142	38	346
nnon	153	32	12
comd	120	12	15
amas	10	0	0
resd	14	19	0
chem	21	8	70
bird	10	5	5
orgm	32	46	10
bact	75	22	37
antb	1	34	4
grup	1	0	1
orgt	0	175	2
lang	0	2	8
rept	0	1	2
clnd	0	2	0
drdd	0	3	0
grpa	0	0	2
amph	0	0	4
