semantictype	test	treatment	problem
irda	5212	64	33
diap	9249	1412	49
ftcn	12488	8345	2889
qlco	7409	4288	3370
qnco	5260	2828	1206
inpr	4745	4617	1870
idcn	1388	478	1644
bpoc	6270	13042	2878
bsoj	890	2221	370
aapp	2487	450	874
imft	1226	218	842
blor	1629	3469	1064
prog	295	200	154
cgab	63	258	769
dsyn	478	895	7622
fndg	3028	2355	3468
popg	303	390	39
topp	6307	16629	724
spco	3335	6819	2118
bdsy	977	653	247
orgf	371	893	273
clna	1741	351	436
medd	1512	3478	298
acty	1003	2176	248
tisu	925	4220	374
npop	561	404	225
anab	92	348	362
euka	720	406	75
mnob	2984	2836	359
food	106	995	70
celc	657	449	48
lbpr	5154	374	48
aggp	33	2	123
emst	96	62	29
tmco	698	1302	1210
bmod	1918	301	93
hlca	2926	2757	257
elii	2385	114	33
bdsu	540	1297	157
phsu	1423	472	581
chvf	272	56	33
gngm	2379	206	536
hcpp	2	6	0
hops	27	45	62
celf	71	14	13
phsf	260	55	115
ffas	46	1	0
anst	163	186	18
sbst	1547	175	106
clas	565	112	482
phpr	232	487	273
chvs	222	99	30
inpo	106	827	7024
plnt	182	239	29
resa	2051	190	14
ocac	825	140	46
edac	64	0	0
hcro	134	57	1
cnce	1567	177	116
menp	327	416	121
ortf	135	155	145
inbe	245	62	26
humn	136	48	13
acab	35	270	394
dora	118	32	0
ocdi	198	10	6
geoa	311	696	562
phob	123	26	1
sosy	40	80	481
genf	219	474	11
inch	115	88	25
orch	368	57	84
mamm	18	42	15
mobd	6	3	529
enty	148	8	0
nusq	144	35	1
lbtr	700	62	35
enzy	779	173	294
neop	240	702	1347
cell	241	50	39
fish	4	1	3
orga	83	41	131
bodm	68	831	28
horm	85	12	22
patf	153	1082	2280
famg	234	2	43
mbrt	667	9	0
biof	59	61	9
bacs	932	52	61
vita	27	0	4
socb	32	51	22
mcha	16	141	4
fngs	37	4	29
podg	17	24	16
evnt	48	21	211
bhvr	2	0	6
gora	16	10	0
moft	338	65	16
anim	55	6	6
virs	118	0	35
rnlw	6	0	3
rcpt	273	19	342
nnon	291	14	12
comd	226	7	15
amas	20	0	0
resd	26	9	0
chem	39	4	67
bird	20	2	5
orgm	63	24	10
bact	144	14	37
antb	2	14	4
grup	1	0	1
orgt	0	73	2
rept	0	1	2
lang	0	1	7
drdd	0	2	0
grpa	0	0	2
amph	0	0	4
