concept id	cpt code	consumer friendly descriptor
1002798	00100	anesthesia
1002799	00102	anesthesia
1002800	00103	anesthesia
1002801	00104	anesthesia
1002803	00120	anesthesia
1002804	00124	anesthesia
1002805	00126	anesthesia
1002807	00140	anesthesia
1002808	00142	anesthesia
1002809	00144	anesthesia
1002810	00145	anesthesia
1002811	00147	anesthesia
1002812	00148	anesthesia
1002814	00160	anesthesia
1002815	00162	anesthesia
1002816	00164	anesthesia
1002818	00170	anesthesia
1002819	00172	anesthesia
1002820	00174	anesthesia
1002821	00176	anesthesia
1002823	00190	anesthesia
1002824	00192	anesthesia
1002826	00210	anesthesia
1019367	00211	anesthesia
1002827	00212	anesthesia
1002828	00214	anesthesia
1002829	00215	anesthesia
1002830	00216	anesthesia
1002831	00218	anesthesia
1002832	00220	anesthesia
1002833	00222	anesthesia
1002835	00300	anesthesia
1002837	00320	anesthesia
1002838	00322	anesthesia
1002840	00326	anesthesia
1002842	00350	anesthesia
1002843	00352	anesthesia
1002846	00400	anesthesia
1002847	00402	anesthesia
1002848	00404	anesthesia
1002849	00406	anesthesia
1002850	00410	anesthesia
1002852	00450	anesthesia
1002854	00454	anesthesia
1002856	00470	anesthesia
1002857	00472	anesthesia
1002858	00474	anesthesia
1002860	00500	anesthesia
1002862	00520	anesthesia
1002863	00522	anesthesia
1002864	00524	anesthesia
1002865	00528	anesthesia
1002866	00529	anesthesia
1002867	00530	anesthesia
1002868	00532	anesthesia
1002869	00534	anesthesia
1002870	00537	anesthesia
1002871	00539	anesthesia
1002873	00540	anesthesia
1002874	00541	anesthesia
1002875	00542	anesthesia
1002876	00546	anesthesia
1002877	00548	anesthesia
1002878	00550	anesthesia
1002880	00560	anesthesia
1002881	00561	anesthesia
1002882	00562	anesthesia
1002883	00563	anesthesia
1002884	00566	anesthesia
1018995	00567	anesthesia
1002885	00580	anesthesia
1002888	00600	anesthesia
1002889	00604	anesthesia
1002891	00620	anesthesia
1014943	00625	anesthesia
1014944	00626	anesthesia
1002894	00630	anesthesia
1002895	00632	anesthesia
1002897	00635	anesthesia
1002898	00640	anesthesia
1002899	00670	anesthesia
1002902	00700	anesthesia
1002903	00702	anesthesia
1002904	00730	anesthesia
1030892	00731	anesthesia
1030893	00732	anesthesia
1002907	00750	anesthesia
1002908	00752	anesthesia
1002909	00754	anesthesia
1002910	00756	anesthesia
1002911	00770	anesthesia
1002913	00790	anesthesia
1002914	00792	anesthesia
1002915	00794	anesthesia
1002916	00796	anesthesia
1002917	00797	anesthesia
1002920	00800	anesthesia
1002921	00802	anesthesia
1030894	00811	anesthesia
1030895	00812	anesthesia
1030896	00813	anesthesia
1002923	00820	anesthesia
