Concept Id	CPT Code	Consumer Friendly Descriptor
1002798	00100	Anesthesia for procedure on salivary gland with biopsy
1002799	00102	Anesthesia for procedure to repair lip defect present at birth
1002800	00103	Anesthesia for procedure on eyelid
1002801	00104	Anesthesia for electric shock treatment
1002803	00120	Anesthesia for biopsy of external middle and inner ear
1002804	00124	Anesthesia for examination and biopsy of external middle and inner ear using an endoscope
1002805	00126	Anesthesia for incision of ear drum
1002807	00140	Anesthesia for procedure on eye
1002808	00142	Anesthesia for lens surgery
1002809	00144	Anesthesia for procedure on eye for corneal transplant
1002810	00145	Anesthesia for retinal surgery
1002811	00147	Anesthesia for procedure on eye for removal of iris
1002812	00148	Anesthesia for eye examination using an endoscope
1002814	00160	Anesthesia for procedure on nose and sinus
1002815	00162	Anesthesia for surgery of nose and sinus
1002816	00164	Anesthesia for soft tissue biopsy on nose and sinus
1002818	00170	Anesthesia for procedure on mouth including biopsy
1002819	00172	Anesthesia for procedure on mouth to repair palate deformity
1002820	00174	Anesthesia for procedure on throat for removal of tumor
1002821	00176	Anesthesia for surgery on mouth
1002823	00190	Anesthesia for procedure on facial bones or skull
1002824	00192	Anesthesia for surgery of facial bones or skull
1002826	00210	Anesthesia for procedure on brain
1019367	00211	Anesthesia for procedure to remove blood collection in brain
1002827	00212	Anesthesia for procedure to remove fluid in brain
1002828	00214	Anesthesia for procedure to create holes in skull including X-ray imaging
1002829	00215	Anesthesia for procedure to repair skull or skull fracture
1002830	00216	Anesthesia for procedure on blood vessel in brain
1002831	00218	Anesthesia for procedure on brain patient in sitting position
1002832	00220	Anesthesia for procedure to drain brain and spinal cord fluid
1002833	00222	Anesthesia for procedure on nerve in brain
1002835	00300	Anesthesia for procedure on esophagus and neck
1002837	00320	Anesthesia for procedure on esophagus and neck, age 1 year or older
1002838	00322	Anesthesia for needle biopsy of thyroid
1002840	00326	Anesthesia for procedure on voice box and windpipe, children younger than 1 year of age
1002842	00350	Anesthesia for procedure on major blood vessels of neck
1002843	00352	Anesthesia for tying procedure on major blood vessels of neck
1002846	00400	Anesthesia for procedure on skin of arms, legs, or trunk
1002847	00402	Anesthesia for breast reconstruction
1002848	00404	Anesthesia for removal of breast
1002849	00406	Anesthesia for removal of breast and lymph nodes
1002850	00410	Anesthesia for procedure to correct abnormal heart rhythm
1002852	00450	Anesthesia for procedure on collar bone and shoulder blade
1002854	00454	Anesthesia for biopsy of collar bone
1002856	00470	Anesthesia for partial removal of rib
1002857	00472	Anesthesia for partial removal of rib and chest wall repair
1002858	00474	Anesthesia for partial removal of rib and chest wall reconstruction
1002860	00500	Anesthesia for procedure on esophagus
1002862	00520	Anesthesia for closed procedure in chest
1002863	00522	Anesthesia for closed needle biopsy of lung
1002864	00524	Anesthesia for closed drainage of lung fluid
1002865	00528	Anesthesia for closed diagnostic examination of chest using an endoscope
1002866	00529	Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation
1002867	00530	Anesthesia for insertion of permanent heart pacemaker
1002868	00532	Anesthesia for central vein access
1002869	00534	Anesthesia for insertion or replace of pacing heart defibrillator
1002870	00537	Anesthesia for procedure on heart to correct abnormal rhythm
1002871	00539	Anesthesia for reconstruction of windpipe and lung airway
1002873	00540	Anesthesia for procedure in chest
1002874	00541	Anesthesia for procedure in chest with 1 lung ventilation
1002875	00542	Anesthesia for removal of lung lining
1002876	00546	Anesthesia for lung removal and chest wall repair
1002877	00548	Anesthesia for procedure on windpipe and lung airway
1002878	00550	Anesthesia for removal of breast bone tissue
1002880	00560	Anesthesia for procedure on heart and great blood vessels
1002881	00561	Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age
1002882	00562	Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure
1002883	00563	Anesthesia for procedure on heart and great blood vessels on heart-lung machine
1002884	00566	Anesthesia for heart artery bypass grafting
1018995	00567	Anesthesia for heart artery bypass grafting on heart-lung machine
1002885	00580	Anesthesia for heart or heart-lung transplant
1002888	00600	Anesthesia for procedure on upper spine and spinal cord
1002889	00604	Anesthesia for procedure on spine and spinal cord, patient in sitting position
1002891	00620	Anesthesia for procedure on middle spine and spinal cord
1014943	00625	Anesthesia for procedure on middle spine and spinal cord
1014944	00626	Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation
1002894	00630	Anesthesia for procedure on lower spine
1002895	00632	Anesthesia for removal of nerves in lower spine
1002897	00635	Anesthesia for spinal tap
1002898	00640	Anesthesia for closed manipulation of spine
1002899	00670	Anesthesia for procedure on spine and spinal cord
1002902	00700	Anesthesia for procedure on upper front abdominal wall
1002903	00702	Anesthesia for liver biopsy (accessed through the skin)
1002904	00730	Anesthesia for procedure on upper rear abdominal wall
1030892	00731	Anesthesia for procedure on esophagus, stomach, and/or upper small bowel using an endoscope
1030893	00732	Anesthesia for diagnostic examination of gallbladder and pancreatic, liver, and bile ducts using an endoscope
1002907	00750	Anesthesia for procedure to repair upper abdominal hernia
1002908	00752	Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening
1002909	00754	Anesthesia for procedure to repair upper abdominal hernia present at birth
1002910	00756	Anesthesia for procedure to repair abdominal hernia
1002911	00770	Anesthesia for procedure on major abdominal blood vessels
1002913	00790	Anesthesia for procedure in upper abdomen including use of an endoscope
1002914	00792	Anesthesia for partial removal of liver or management of bleeding including use of an endoscope
1002915	00794	Anesthesia for removal of pancreas including use of an endoscope
1002916	00796	Anesthesia for liver transplant recipient including use of an endoscope
1002917	00797	Anesthesia for procedure on stomach for obesity including use of an endoscope
1002920	00800	Anesthesia for procedure on lower front abdominal wall
1002921	00802	Anesthesia for removal of excess tissue on lower abdominal wall
1030894	00811	Anesthesia for procedure on large bowel using an endoscope
1030895	00812	Anesthesia for diagnostic examination of large bowel using an endoscope
1030896	00813	Anesthesia for procedure on esophagus, stomach, small bowel, and/or large bowel using an endoscope
1002923	00820	Anesthesia for procedure on lower rear abdominal wall
1002925	00830	Anesthesia for lower abdominal hernia repair
1002926	00832	Anesthesia for middle or incisional abdominal hernia repair
1002927	00834	Anesthesia for lower abdominal hernia repair, child younger than 1 year of age
1002928	00836	Anesthesia for lower abdominal hernia repair, infants younger than 37 weeks gestational age at birth and younger than 50 weeks gestational age at time of surgery
1002930	00840	Anesthesia for procedure in lower abdominal cavity including use of an endoscope
1002931	00842	Anesthesia for removal of amniotic fluid in uterus including use of an endoscope
1002932	00844	Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope
1002933	00846	Anesthesia for removal of uterus including use of an endoscope
1002934	00848	Anesthesia for removal of pelvic organs including use of an endoscope
1002935	00851	Anesthesia for tying or incision of fallopian tubes using an endoscope
1002937	00860	Anesthesia for procedure in lower abdomen including urinary tract
1002938	00862	Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant
1002939	00864	Anesthesia for removal of urinary bladder
1002940	00865	Anesthesia for removal of prostate
1002941	00866	Anesthesia for removal of adrenal gland
1002942	00868	Anesthesia for kidney transplant
1002943	00870	Anesthesia for removal of urinary bladder stone
1002945	00872	Anesthesia for shock wave therapy for urinary system stones
1002946	00873	Anesthesia for shock wave therapy for urinary system stones
1002948	00880	Anesthesia for procedure on major lower abdominal wall blood vessels
1002949	00882	Anesthesia for tying of major vein in lower abdomen
1002951	00902	Anesthesia for procedure on anus and rectum
1002952	00904	Anesthesia for procedure on perineum
1002953	00906	Anesthesia for removal of external female genitalia
1002954	00908	Anesthesia for removal of prostate
1002956	00910	Anesthesia for procedure on urinary system including use of an endoscope
1002957	00912	Anesthesia for removal of urinary bladder tumors including use of an endoscope
1002958	00914	Anesthesia for removal of prostate including use of an endoscope
1002959	00916	Anesthesia for procedure to control urinary system bleeding including use of an endoscope
1002960	00918	Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope
1002962	00920	Anesthesia for procedure on male genitalia
1002963	00921	Anesthesia for vasectomy
1002964	00922	Anesthesia for procedure on male genitalia glands
1002965	00924	Anesthesia for repair of undescended testicle
1002966	00926	Anesthesia for removal of testicle through groin
1002967	00928	Anesthesia for removal of testicle through abdomen
1002968	00930	Anesthesia for relocation of undescended testicle into scrotum
1002969	00932	Anesthesia for removal of penis
1002970	00934	Anesthesia for removal of penis and lymph nodes on both sides of groin
1002971	00936	Anesthesia for removal of penis and lymph nodes on both sides of groin
1002972	00938	Anesthesia for insertion of penile prosthesis
1002974	00940	Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia
1002975	00942	Anesthesia for repair or removal of vagina and urinary procedure
1002976	00944	Anesthesia for vaginal removal of uterus
1002977	00948	Anesthesia for suture closure of cervix
1002978	00950	Anesthesia for examination of cervix using an endoscope
1002979	00952	Anesthesia for examination of uterus using an endoscope
1002981	01112	Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone
